Customer ID,Age,Annual Income,Spending Score,Cluster,Segment
1,56,73053,58,1,Low/Med Income – High Spending (Mature)
2,69,36959,67,4,Low/Med Income – High Spending (Mature)
3,46,20530,46,4,Low/Med Income – High Spending (Mature)
4,32,109856,24,0,High Income – Low/Med Spending (Young)
5,60,18748,32,4,Low/Med Income – High Spending (Mature)
6,25,112504,47,0,High Income – Low/Med Spending (Young)
7,38,113098,86,5,High Income – High Spending (Mature)
8,56,28545,23,4,Low/Med Income – High Spending (Mature)
9,36,81199,66,6,High Income – High Spending (Young)
10,40,49766,27,3,Low/Med Income – Low/Med Spending (Young)
11,28,88530,2,0,High Income – Low/Med Spending (Young)
12,28,108557,90,6,High Income – High Spending (Young)
13,41,76087,17,0,High Income – Low/Med Spending (Young)
14,53,110839,33,2,High Income – Low/Med Spending (Mature)
15,57,83840,9,2,High Income – Low/Med Spending (Mature)
16,41,69384,43,0,High Income – Low/Med Spending (Young)
17,20,66005,48,6,High Income – High Spending (Young)
18,39,61576,39,3,Low/Med Income – Low/Med Spending (Young)
19,19,54353,93,6,High Income – High Spending (Young)
20,41,77003,42,0,High Income – Low/Med Spending (Young)
21,61,98211,26,2,High Income – Low/Med Spending (Mature)
22,47,67733,99,1,Low/Med Income – High Spending (Mature)
23,55,80318,50,2,High Income – Low/Med Spending (Mature)
24,19,104474,25,0,High Income – Low/Med Spending (Young)
25,38,38664,24,3,Low/Med Income – Low/Med Spending (Young)
26,50,82172,13,2,High Income – Low/Med Spending (Mature)
27,29,100616,60,0,High Income – Low/Med Spending (Young)
28,39,108264,7,0,High Income – Low/Med Spending (Young)
29,61,41736,57,4,Low/Med Income – High Spending (Mature)
30,42,109209,36,0,High Income – Low/Med Spending (Young)
31,66,118041,45,2,High Income – Low/Med Spending (Mature)
32,44,15854,20,3,Low/Med Income – Low/Med Spending (Young)
33,59,105084,65,5,High Income – High Spending (Mature)
34,45,53623,8,3,Low/Med Income – Low/Med Spending (Young)
35,33,22392,16,3,Low/Med Income – Low/Med Spending (Young)
36,32,70680,14,3,Low/Med Income – Low/Med Spending (Young)
37,64,61717,76,1,Low/Med Income – High Spending (Mature)
38,68,102092,87,5,High Income – High Spending (Mature)
39,61,65859,15,2,High Income – Low/Med Spending (Mature)
40,69,119095,92,5,High Income – High Spending (Mature)
